url,status,redirect_to,depth,source,title,canonical,meta_robots,last_modified,outlinks,words
https://fountainheadschools.org/health-policy/canteen-pantry-usage-guidelines/,200,,1,both,canteen pantry usage guidelines - Fountainhead School,https://fountainheadschools.org/health-policy/canteen-pantry-usage-guidelines/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-02T13:33:00+05:30,77,325
https://fountainheadschools.org/health-policy/celebration-and-gift-guidelines-for-students/,200,,1,both,celebration-and-gift-guidelines-for-students - Fountainhead School,https://fountainheadschools.org/health-policy/celebration-and-gift-guidelines-for-students/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-02T13:38:30+05:30,77,325
https://fountainheadschools.org/health-policy/code-of-conduct-for-parents/,200,,1,both,Code of Conduct for Parents - Fountainhead School,https://fountainheadschools.org/health-policy/code-of-conduct-for-parents/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-02T13:41:58+05:30,77,325
https://fountainheadschools.org/health-policy/cyber-policy/,200,,1,both,cyber policy - Fountainhead School,https://fountainheadschools.org/health-policy/cyber-policy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-04-01T12:00:10+05:30,77,348
https://fountainheadschools.org/health-policy/discipline-policy/,200,,1,both,discipline policy - Fountainhead School,https://fountainheadschools.org/health-policy/discipline-policy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-02T13:34:28+05:30,77,335
https://fountainheadschools.org/health-policy/food-policy/,200,,1,both,food policy - Fountainhead School,https://fountainheadschools.org/health-policy/food-policy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-06-09T09:09:12+05:30,77,337
https://fountainheadschools.org/health-policy/health-exclusion-policy/,200,,1,both,health exclusion policy - Fountainhead School,https://fountainheadschools.org/health-policy/health-exclusion-policy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-02T13:40:28+05:30,77,325
https://fountainheadschools.org/health-policy/indemnity-policy/,200,,1,both,indemnity-policy - Fountainhead School,https://fountainheadschools.org/health-policy/indemnity-policy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-02T13:44:38+05:30,77,689
https://fountainheadschools.org/health-policy/transport-related-behavior-policy/,200,,1,both,transport-related-behavior-policy - Fountainhead School,https://fountainheadschools.org/health-policy/transport-related-behavior-policy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-02T13:36:55+05:30,77,349
https://fountainheadschools.org/internship-programme/,200,,1,both,Internship Programme - Fountainhead School,https://fountainheadschools.org/internship-programme/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-11-22T09:18:09+05:30,77,858
https://fountainheadschools.org/introduction/,200,,1,both,Introduction - Fountainhead School,https://fountainheadschools.org/introduction/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-11-22T14:23:01+05:30,77,622
https://fountainheadschools.org/lost-and-found-process/,200,,1,both,Lost and Found Process - Fountainhead School,https://fountainheadschools.org/lost-and-found-process/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-11-26T08:57:04+05:30,77,335
https://fountainheadschools.org/nucleus-app/,200,,1,both,nucleus-app - Fountainhead School,https://fountainheadschools.org/nucleus-app/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-06-17T08:37:59+05:30,77,322
https://fountainheadschools.org/online-form-center/,200,,1,both,Online Form Center - Fountainhead School,https://fountainheadschools.org/online-form-center/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-11-21T10:50:31+05:30,77,675
https://fountainheadschools.org/organogram/,200,,1,both,Organogram - Fountainhead School,https://fountainheadschools.org/organogram/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2026-05-29T14:11:16+05:30,77,352
https://fountainheadschools.org/other-policies/announcing-student-achievement-policy/,200,,1,both,announcing student achievement policy - Fountainhead School,https://fountainheadschools.org/other-policies/announcing-student-achievement-policy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-02T14:14:06+05:30,77,325
https://fountainheadschools.org/other-policies/concession-policy-for-usage-of-it-devices/,200,,1,both,concession-policy-for-usage-of-it-devices - Fountainhead School,https://fountainheadschools.org/other-policies/concession-policy-for-usage-of-it-devices/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-02T14:28:28+05:30,77,978
https://fountainheadschools.org/other-policies/locker-policy/,200,,1,both,locker policy - Fountainhead School,https://fountainheadschools.org/other-policies/locker-policy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-02T14:13:11+05:30,77,325
https://fountainheadschools.org/other-policies/prevention-of-abuse-harassment/,200,,1,crawl,prevention-of-abuse-harassment - Fountainhead School,,"follow, noindex",2025-12-02T14:49:52+05:30,77,325
https://fountainheadschools.org/other-policies/public-display-of-affection/,200,,1,both,public display of affection - Fountainhead School,https://fountainheadschools.org/other-policies/public-display-of-affection/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-02T14:22:00+05:30,77,329
https://fountainheadschools.org/other-policies/sickbay-policy/,200,,1,both,sickbay policy - Fountainhead School,https://fountainheadschools.org/other-policies/sickbay-policy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-02T14:23:04+05:30,77,327
https://fountainheadschools.org/other-policies/student-consent-for-taking-leadership-in-school-events/,200,,1,both,student-consent-for-taking-leadership-in-school-events - Fountainhead School,https://fountainheadschools.org/other-policies/student-consent-for-taking-leadership-in-school-events/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-02T14:32:17+05:30,77,801
https://fountainheadschools.org/other-policies/taking-care-of-your-chromebook/,200,,1,both,taking-care-of-your-chromebook - Fountainhead School,https://fountainheadschools.org/other-policies/taking-care-of-your-chromebook/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-02T14:29:57+05:30,78,926
https://fountainheadschools.org/parent-corner/,301,https://fountainheadschools.org/parent-corner/school-stories/,1,crawl,,,,,0,0
https://fountainheadschools.org/parent-corner/placements/,200,,1,both,Placements - Fountainhead School,https://fountainheadschools.org/parent-corner/placements/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-07-17T22:50:49+05:30,77,343
https://fountainheadschools.org/parent-corner/results/,200,,1,both,Fountainhead School - Results,https://fountainheadschools.org/parent-corner/results/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",,77,381
https://fountainheadschools.org/parent-corner/school-stories/,200,,1,both,School Stories - Fountainhead School,https://fountainheadschools.org/parent-corner/school-stories/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-11-26T10:16:28+05:30,77,4917
https://fountainheadschools.org/peoplefs/,200,,1,both,People@FS - Fountainhead School,https://fountainheadschools.org/peoplefs/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-01T11:16:15+05:30,77,1464
https://fountainheadschools.org/philosophy/,200,,1,both,Philosophy - Fountainhead School,https://fountainheadschools.org/philosophy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-12-01T10:48:00+05:30,77,374
https://fountainheadschools.org/privacy-policy/,200,,1,both,Privacy Policy - Fountainhead School,https://fountainheadschools.org/privacy-policy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2026-03-14T09:45:28+05:30,77,1435
https://fountainheadschools.org/school-calendar/,200,,1,both,School Calendar - Fountainhead School,https://fountainheadschools.org/school-calendar/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-11-22T12:22:41+05:30,77,335
https://fountainheadschools.org/school-policy/attendance-policy/,200,,1,both,attendance policy - Fountainhead School,https://fountainheadschools.org/school-policy/attendance-policy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-03-29T09:15:47+05:30,77,325
https://fountainheadschools.org/school-policy/guidelines-for-pcm-ptc/,200,,1,both,guidelines-for-pcm-ptc - Fountainhead School,https://fountainheadschools.org/school-policy/guidelines-for-pcm-ptc/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-12-09T12:38:41+05:30,77,1241
https://fountainheadschools.org/school-policy/no-tuition-policy/,200,,1,crawl,no tuition policy - Fountainhead School,,"follow, noindex",2024-12-09T12:37:11+05:30,77,422
https://fountainheadschools.org/school-policy/no-tuition-policy/addendum-in-no-tuition-policy/,200,,1,both,addendum in no tuition policy - Fountainhead School,https://fountainheadschools.org/school-policy/no-tuition-policy/addendum-in-no-tuition-policy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-11-22T12:09:45+05:30,77,325
https://fountainheadschools.org/school-policy/no-tuition-policy/no-tuition-policy-our-beliefs/,200,,1,both,no tuition policy our beliefs - Fountainhead School,https://fountainheadschools.org/school-policy/no-tuition-policy/no-tuition-policy-our-beliefs/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-11-22T12:05:35+05:30,77,325
https://fountainheadschools.org/school-policy/parent-role-in-education/,200,,1,both,parent-role-in-education - Fountainhead School,https://fountainheadschools.org/school-policy/parent-role-in-education/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-12-09T12:03:50+05:30,77,325
https://fountainheadschools.org/school-policy/play-guidelines/,200,,1,both,play guidelines - Fountainhead School,https://fountainheadschools.org/school-policy/play-guidelines/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-11-22T12:07:38+05:30,77,325
https://fountainheadschools.org/school-policy/uniform-policy/,200,,1,both,uniform policy - Fountainhead School,https://fountainheadschools.org/school-policy/uniform-policy/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-03-29T09:20:15+05:30,77,333
https://fountainheadschools.org/studentlife/beyond-academics/,200,,1,both,Beyond Academics - Fountainhead School,https://fountainheadschools.org/studentlife/beyond-academics/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-11-22T13:45:10+05:30,77,818
https://fountainheadschools.org/studentlife/facilities/,200,,1,both,Facilities - Fountainhead School,https://fountainheadschools.org/studentlife/facilities/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-12-09T11:08:13+05:30,77,451
https://fountainheadschools.org/studentlife/services/,301,https://fountainheadschools.org/studentlife/services/career-counselling/,1,crawl,,,,,0,0
https://fountainheadschools.org/studentlife/services/career-counselling/,200,,1,both,Career Counselling - Fountainhead School,https://fountainheadschools.org/studentlife/services/career-counselling/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2025-01-17T08:13:00+05:30,77,503
https://fountainheadschools.org/studentlife/services/school-menu/,200,,1,crawl,School Menu​ - Fountainhead School,,"follow, noindex",2025-10-11T11:30:30+05:30,77,401
https://fountainheadschools.org/studentlife/services/techfs/,200,,1,both,Tech@FS​ - Fountainhead School,https://fountainheadschools.org/studentlife/services/techfs/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2024-11-22T14:32:59+05:30,77,388
https://fountainheadschools.org/studentlife/services/transport/,200,,1,both,Transport​ - Fountainhead School,https://fountainheadschools.org/studentlife/services/transport/,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large",2026-05-30T11:27:52+05:30,77,409
